DBH_in,HeighttoTop_ft,Species,CanopyWidth_ft,MostSignificantDefect,Failure_Standardized,ProbabilityofFailure
20.8,36,Red Mulberry,35,Decay,none,3
44.2,41,Live oak,70,Poor Tree Architecture,none,1
19.7,34,Live oak,38,Weak Branch Union,none,2
20,44,Live oak,34,Weak Branch Union,none,1
24,45.5,Live oak,48,Poor Tree Architecture,none,1
26.4,43.5,Live oak,49,Decay,branch,1
32.7,49,Laurel Oak,57,Weak Branch Union,branch,3
6.7,7,Arborvitae,9,"",none,1
6.8,18.5,Live oak,17,Weak Branch Union,whole,2
10.8,26.5,Live oak,30,Poor Tree Architecture,whole,1
14.7,32.5,Live oak,38,Poor Tree Architecture,whole,1
11.4,27.5,Live oak,27,Weak Branch Union,whole,2
13.6,25.5,Live oak,39,Poor Tree Architecture,whole,2
10.7,17.5,Live oak,30,Poor Tree Architecture,whole,2
11.7,24.5,Live oak,28,Weak Branch Union,whole,3
11.5,24.5,Live oak,27,Poor Tree Architecture,whole,2
13.5,25.5,Live oak,37,Weak Branch Union,whole,2
11.3,27.5,Live oak,29,Weak Branch Union,whole,2
8.4,18,Live oak,23,Root Problems,whole,2
9.2,21.5,Live oak,26,Root Problems,whole,2
10.2,23.5,Live oak,25,Poor Tree Architecture,whole,2
7.5,18,Live oak,30,Leaning Tree,whole,2
9.5,19.5,Live oak,27,Root Problems,whole,2
10.2,23.5,Live oak,24,Poor Tree Architecture,whole,1
8.1,20,Live oak,29,Weak Branch Union,whole,1
9,21.5,Live oak,27,Weak Branch Union,whole,1
11.7,23,Live oak,34,Weak Branch Union,whole,2
8.8,22.5,Live oak,26,Root Problems,whole,2
8.5,23,Live oak,30,Weak Branch Union,whole,1
12.3,26,Live oak,36,Poor Tree Architecture,whole,2
8.3,21,Live oak,25,Weak Branch Union,whole,2
11.7,27,Live oak,31,Weak Branch Union,whole,2
9.2,22,Live oak,25,Weak Branch Union,whole,2
9.7,26.5,Live oak,25,"",whole,
11.4,28.5,Live oak,29,Weak Branch Union,whole,2
13.9,31,Live oak,35,Poor Tree Architecture,none,2
9.7,23,Live oak,27,Weak Branch Union,none,2
7,18.5,Live oak,26,Root Problems,none,3
8,17,Live oak,23,Decay,none,3
7.2,22,Live oak,19,Weak Branch Union,none,3
17.7,36,Yew Podocarpus,41,Poor Tree Architecture,none,3
4,16.5,Crapemyrtle,16,"",none,1
4.3,18,Crapemyrtle,15,"",none,1
17.4,34.5,Yew Podocarpus,29,Weak Branch Union,none,1
16.5,33.5,Yew Podocarpus,25,Leaning Tree,none,1
13.5,30.5,Yew Podocarpus,28,Weak Branch Union,none,1
7.4,19,Weeping Bottlebrush,13,Decay,none,3
15.2,23,Laurel Oak,29,Weak Branch Union,branch,3
16.9,36.5,Laurel Oak,16,Poor Tree Architecture,branch,3
26.8,36,Laurel Oak,45,Poor Tree Architecture,branch,3
36,44,Laurel Oak,53,Decay,branch,3
16.7,35.5,Live oak,42,Poor Tree Architecture,none,1
15.7,31,Live oak,29,Poor Tree Architecture,none,2
18,34,Live oak,32,Poor Tree Architecture,none,2
15.4,30,Live oak,33,Poor Tree Architecture,none,2
11.2,26,Live oak,34,Weak Branch Union,none,1
10.5,21.5,Live oak,34,Weak Branch Union,none,2
17.5,29,Live oak,40,Decay,none,2
23.8,40,Laurel Oak,41,Dead,whole,4
19.3,29,Live oak,33,Poor Tree Architecture,branch,3
20,35,Live oak,46,Root Problems,branch,1
17,36.5,Live oak,48,Root Problems,none,2
4.2,14,Yellow Tabebuia,18,Leaning Tree,whole,2
11.7,22.5,Live oak,32,Poor Tree Architecture,none,1
24.8,36,American Elm,48,Dead,whole,4
4.9,10.5,Chinese elm,7,Dead,whole,4
11.7,25.5,Live oak,36,Weak Branch Union,none,1
12.1,24.5,Live oak,40,"",branch,1
13.6,21.5,Live oak,36,Root Problems,none,2
24.6,34.5,Live oak,64,Poor Tree Architecture,none,2
36,54.5,Laurel Oak,63,Weak Branch Union,branch,3
23.8,49.5,Laurel Oak,54,Root Problems,branch,2
19.8,54.5,Laurel Oak,46,Leaning Tree,none,2
9.3,23,Carolina Laurelcherry,22,Leaning Tree,none,2
6,15,Brazilian Pepper,25,Poor Tree Architecture,whole,2
4.3,17,Weeping Bottlebrush,15,Poor Tree Architecture,none,2
4.2,13,Laurel Oak,9,Poor Tree Architecture,none,3
8.4,22,Live oak,19,Poor Tree Architecture,none,2
6.8,27,Laurel Oak,23,Root Problems,none,1
4.5,13,Weeping Bottlebrush,7,Poor Tree Architecture,none,2
5.5,14.5,Weeping Bottlebrush,14,Poor Tree Architecture,none,2
4,12,Laurel Oak,10,Poor Tree Architecture,none,2
4.3,24.5,slash pine,10,Dead,none,3
10.7,34,Laurel Oak,17,Decay,none,4
32,34,Laurel Oak,45,Decay,none,4
31,56,Live oak,66,Dead,none,3
4.9,17,Brazilian Pepper,24,Leaning Tree,none,1
25,49,Live oak,47,Root Problems,none,1
27,58.5,Laurel Oak,32,Decay,branch,4
17.5,35,Laurel Oak,37,Dead,whole,3
9.3,29,Carolina Laurelcherry,27,Poor Tree Architecture,none,2
12.5,32,Live oak,32,Leaning Tree,none,1
14.8,21,Weeping Bottlebrush,12,Dead,none,3
10,11,Weeping Bottlebrush,6,Dead,none,3
19.5,50.5,slash pine,43,Root Problems,none,1
19.6,39,Live oak,42,Poor Tree Architecture,none,2
26.2,41.5,Live oak,55,Dead,none,3
18.3,23.5,Laurel Oak,30,Poor Tree Architecture,none,2
27,41,Live oak,58,Weak Branch Union,none,1
16.8,29.5,Laurel Oak,40,Decay,none,2
19.4,54,sand live oak,36,"",none,
9.1,30,sand live oak,15,Dead,none,4
20.7,35.5,sand live oak,36,Decay,none,4
21.8,38,sand live oak,30,Decay,none,3
8.8,27,sand live oak,18,Decay,none,4
9.9,44.5,Live oak,26,Poor Tree Architecture,none,1
21,45,Live oak,55,Dead,none,3
17.5,46.5,sand live oak,36,Leaning Tree,none,2
14.2,51,sand live oak,40,Decay,none,2
14.5,45.5,sand live oak,30,Leaning Tree,none,2
13.3,48,sand live oak,46,Leaning Tree,none,2
13.3,45.5,sand live oak,33,Leaning Tree,none,2
13.1,45.5,sand live oak,32,Dead,none,3
8.2,37,Live oak,24,Dead,none,3
18.2,52.5,Live oak,36,Poor Tree Architecture,none,1
17.1,42.5,Live oak,35,"",none,2
13.8,42.5,Live oak,24,Leaning Tree,none,2
18.8,49,Live oak,46,Dead,none,3
26.4,34,Live oak,52,"",none,2
10.6,35,Live oak,15,Root Problems,none,2
18.6,39,Live oak,40,Weak Branch Union,none,1
17.3,29.5,Live oak,58,Decay,none,3
13.7,47.5,Live oak,33,Dead,none,3
17,48.5,Live oak,32,Dead,none,3
37,38.5,Live oak,60,Dead,none,3
36.5,58,Live oak,86,Dead,none,3
10.9,34,Live oak,26,"",none,3
16.2,43.5,Live oak,33,Dead,none,3
18.5,48,Live oak,43,Dead,none,3
25.3,35.5,sand live oak,50,Dead,none,3
16.1,49.5,Live oak,36,Poor Tree Architecture,none,1
18.1,45,Live oak,33,Weak Branch Union,none,2
10.9,37,Live oak,24,Decay,none,2
17,35.5,Live oak,30,Poor Tree Architecture,none,1
12.9,37,Live oak,33,"",none,1
14,33,Live oak,33,Leaning Tree,none,1
11.8,33,Live oak,34,Leaning Tree,none,1
25.2,39,Live oak,37,Leaning Tree,none,2
30,35,Live oak,64,Leaning Tree,none,1
25.5,45,Live oak,49,Dead,branch,3
23.5,39.5,Live oak,49,Dead,branch,3
19.4,54,Live oak,55,Weak Branch Union,branch,2
20.6,25,Crapemyrtle,30,Leaning Tree,whole,2
49.4,54,Laurel Oak,76,Dead,whole,3
15.6,25,Chinaberry,29,Dead,none,4
6.2,22,Carolina Laurelcherry,13,Leaning Tree,none,2
12.9,34,Southern Redcedar,16,Decay,none,4
22.5,37,Live oak,43,Leaning Tree,none,2
11.5,43.5,Southern Redcedar,12,Decay,none,2
12.5,35,Southern Redcedar,12,Leaning Tree,none,2
9,43,Southern Redcedar,9,"",none,3
4.4,32,Carolina Laurelcherry,13,Leaning Tree,none,1
13.8,25.5,Carolina Laurelcherry,28,Poor Tree Architecture,none,3
8.9,19.5,Carolina Laurelcherry,23,"",none,
32.2,46.5,sand live oak,80,Poor Tree Architecture,none,1
8.7,25,Carolina Laurelcherry,28,Poor Tree Architecture,none,2
27.2,37.5,Live oak,72,Weak Branch Union,none,3
22.3,32.5,sand live oak,50,Leaning Tree,none,1
60,59.5,Live oak,95,Poor Tree Architecture,none,3
8.5,12,Arborvitae,8,"",none,1
13.4,43,Southern Redcedar,11,Decay,branch,2
17.7,46.5,Carolina Laurelcherry,24,Poor Tree Architecture,branch,2
4.5,20,Red Mulberry,15,Poor Tree Architecture,whole,2
16.5,48.5,Southern Redcedar,16,Dead,branch,3
10.6,35,Carolina Laurelcherry,22,Dead,branch,4
35.5,66.5,Laurel Oak,72,Weak Branch Union,whole,2
8,44,Southern Redcedar,11,Leaning Tree,branch,3
10.5,39,Chinaberry,38,Leaning Tree,branch,3
15.5,25,American Elm,40,Poor Tree Architecture,branch,3
9.6,36.5,slash pine,18,"",none,3
12.7,26.5,sand live oak,2,Leaning Tree,none,2
5,24,Carolina Laurelcherry,17,Leaning Tree,none,2
5.8,25.5,Carolina Laurelcherry,15,Weak Branch Union,none,2
9.5,33.5,slash pine,20,Dead,none,3
11.2,25,sand live oak,25,Poor Tree Architecture,none,3
12.3,23,sand live oak,26,Decay,none,2
16,24,Camphor Tree,27,Dead,none,4
46.5,36,sand live oak,45,Decay,none,4
13.3,35.5,Red Mulberry,48,Poor Tree Architecture,none,3
16.7,40,sand live oak,35,Poor Tree Architecture,none,3
35,42.5,Live oak,60,Poor Tree Architecture,none,2
4,11,Yew Podocarpus,10,"",none,1
12.2,32.5,Laurel Oak,40,Poor Tree Architecture,none,2
11.2,23,Carolina Laurelcherry,30,Weak Branch Union,none,2
17.5,24,Laurel Oak,40,Decay,none,3
10.4,30,Laurel Oak,32,Poor Tree Architecture,none,2
4.7,20.5,Carolina Laurelcherry,14,Poor Tree Architecture,none,2
13,27,Camphor Tree,36,Poor Tree Architecture,none,1
7,24,Laurel Oak,12,Poor Tree Architecture,none,3
5.5,26,Camphor Tree,17,Poor Tree Architecture,none,2
4,15,Red Mulberry,28,Poor Tree Architecture,none,2
6.8,26,Camphor Tree,13,Poor Tree Architecture,none,2
6.1,29,Carolina Laurelcherry,20,Poor Tree Architecture,none,2
5.4,32,Carolina Laurelcherry,13,Leaning Tree,none,2
32,47.5,sand live oak,77,Dead,none,4
6.4,22.5,Camphor Tree,11,Leaning Tree,whole,2
4,25,Laurel Oak,9,Decay,none,3
26,32,Laurel Oak,47,Dead,none,4
26.7,40,sand live oak,45,Weak Branch Union,branch,3
14.7,24.5,Carolina Laurelcherry,34,Dead,branch,4
6.3,32,Laurel Oak,29,Poor Tree Architecture,branch,2
27,40,Laurel Oak,50,Decay,none,3
4,25,Norfolk Island Pine,9,"",none,1
5,15,Norfolk Island Pine,12,"",none,2
5,19.5,Norfolk Island Pine,15,"",none,1
4.2,25,Norfolk Island Pine,10,"",none,1
7,25,Norfolk Island Pine,11,"",none,1
8.3,40.5,Carolina Laurelcherry,26,Poor Tree Architecture,none,2
43.5,41,Live oak,34,Decay,none,3
35,44.5,Live oak,73,Poor Tree Architecture,branch,1
34.5,45.5,Live oak,34,Weak Branch Union,branch,2
10.5,18,Live oak,30,Decay,branch,3
27.6,39.5,Live oak,41,Dead,branch,4
30.3,47,Live oak,56,Poor Tree Architecture,none,1
13,23.5,Red Mulberry,32,Poor Tree Architecture,none,3
15,36.5,Laurel Oak,37,Poor Tree Architecture,whole,3
14,27.5,Live oak,40,Decay,whole,3
34,36,Camphor Tree,38,Dead,branch,4
34.2,59,Laurel Oak,46,Weak Branch Union,branch,2
28,50,Live oak,60,Poor Tree Architecture,none,3
21.4,59,Laurel Oak,33,Poor Tree Architecture,none,3
12.6,23,Live oak,33,Poor Tree Architecture,none,2
8.8,18,Caribbean Trumpet,13,Leaning Tree,whole,3
7.3,16,Caribbean Trumpet,13,"",whole,3
4.8,14,Caribbean Trumpet,13,Poor Tree Architecture,none,3
7,14,Caribbean Trumpet,13,"",none,3
6.3,17.5,Caribbean Trumpet,9,"",none,3
5.8,12,Caribbean Trumpet,13,Poor Tree Architecture,none,3
5.3,18.5,Live oak,15,Weak Branch Union,none,1
9.1,19,Caribbean Trumpet,12,"",none,3
10.2,18.5,Caribbean Trumpet,14,"",none,3
5.8,18.5,Live oak,13,"",none,1
5.5,21,Live oak,16,Weak Branch Union,none,1
8.8,17.5,Caribbean Trumpet,16,"",none,3
9.5,15.5,Caribbean Trumpet,13,"",none,3
9.8,22,Red Mulberry,20,Weak Branch Union,none,2
24,23,Melaleuca spp.,18,Poor Tree Architecture,none,3
29.3,40,Laurel Oak,54,Weak Branch Union,none,4
6.7,29.5,Chinaberry,14,"",none,2
21.2,22.5,Laurel Oak,28,Decay,none,3
50.4,71,Laurel Oak,62,Dead,branch,4
20,42,American Elm,39,Poor Tree Architecture,none,1
14.8,41.5,Live oak,32,Poor Tree Architecture,none,1
14.8,44.5,Live oak,34,"",none,2
17,33,Live oak,28,Weak Branch Union,none,1
18.4,47,Live oak,42,Weak Branch Union,none,2
18.2,41,Live oak,45,Weak Branch Union,none,1
13.9,33,Live oak,27,Weak Branch Union,none,3
13.7,37.5,Live oak,29,"",none,2
14.5,33.5,Live oak,34,Weak Branch Union,none,2
13.4,39,Live oak,36,Weak Branch Union,none,3
14,41,Live oak,39,Weak Branch Union,none,2
4.5,13.5,Japanese Privet,17,Poor Tree Architecture,none,2
4.3,13,Japanese Privet,19,Poor Tree Architecture,none,2
13.9,34.5,Live oak,33,Leaning Tree,none,1
4.5,13,Japanese Privet,17,Poor Tree Architecture,none,2
15.5,31,Live oak,42,Dead,none,3
15.2,44.5,Live oak,41,Weak Branch Union,none,2
16.3,32.5,Live oak,39,Weak Branch Union,none,2
14.6,47.5,Live oak,33,Weak Branch Union,none,2
16.3,46.5,Live oak,38,Root Problems,none,1
17.6,40.5,Live oak,44,"",none,2
16.7,36.5,Live oak,39,Root Problems,none,2
10,32.5,Live oak,20,Root Problems,none,3
3.4,12,Yellow Tabebuia,16,Dead,none,3
14,33,Live oak,33,Weak Branch Union,none,2
14.4,40.5,Live oak,40,Weak Branch Union,none,3
16.5,35.5,Live oak,48,Weak Branch Union,none,2
3.4,11.5,Yellow Tabebuia,13,Dead,none,3
14.5,31.5,Live oak,28,Weak Branch Union,none,2
5.3,12,Japanese Privet,24,Poor Tree Architecture,none,2
16,40,Live oak,37,Weak Branch Union,none,2
5.1,16,Japanese Privet,22,Poor Tree Architecture,none,2
3,10.5,Japanese Privet,13,Poor Tree Architecture,none,2
15.4,39.5,Live oak,31,Poor Tree Architecture,none,2
12.2,25,Live oak,32,Weak Branch Union,none,2
16.2,37.5,Live oak,35,Weak Branch Union,none,2
5,12.5,Japanese Privet,20,Poor Tree Architecture,none,2
4.3,12.5,Japanese Privet,17,"",none,2
18.9,40.5,Live oak,41,Weak Branch Union,none,2
11.6,38,red maple,29,Weak Branch Union,branch,2
6.1,13,Japanese Privet,17,Poor Tree Architecture,none,2
16,30.5,Live oak,37,Weak Branch Union,none,2
14.8,32.5,Live oak,33,"",none,1
16.8,33,Live oak,41,Root Problems,none,3
12.6,35,Live oak,35,Weak Branch Union,none,2
14.1,30,red maple,28,"",whole,3
4,11.5,Yellow Tabebuia,15,Dead,none,3
13,31,Live oak,38,Leaning Tree,none,1
13.7,29,Live oak,36,Weak Branch Union,none,2
15.5,39,Live oak,29,Leaning Tree,none,2
16.5,40,Live oak,35,Weak Branch Union,none,2
3.5,10,Japanese Privet,18,Poor Tree Architecture,none,2
12.6,47.5,red maple,22,Poor Tree Architecture,branch,2
9,28.5,baldcypress,12,"",none,1
7.5,27,baldcypress,12,"",none,1
7.4,24.5,baldcypress,10,"",none,1
13,38.5,Live oak,34,Weak Branch Union,none,2
13,27,Live oak,34,Root Problems,none,2
9.7,26,Live oak,29,Poor Tree Architecture,none,1
14.7,35,Live oak,35,Weak Branch Union,none,2
13.7,41.5,Live oak,24,Weak Branch Union,none,3
5.6,25,Yellow Tabebuia,12,Leaning Tree,none,3
5.5,23.5,southern magnolia,13,Decay,none,2
4.2,18,Yellow Tabebuia,10,Dead,none,4
6.1,21,red maple,13,Decay,none,3
6.2,23.5,southern magnolia,11,Decay,none,3
13.3,37,Live oak,34,Weak Branch Union,none,2
15.1,27,Live oak,32,Poor Tree Architecture,none,2
14,36,Live oak,34,Poor Tree Architecture,none,3
6,25.5,baldcypress,11,"",none,1
11.7,29.5,red maple,18,Root Problems,none,3
15.3,35,Live oak,35,Weak Branch Union,none,3
9.8,39.5,baldcypress,14,"",none,1
7,32.5,baldcypress,10,"",none,1
15.3,39,Live oak,27,Poor Tree Architecture,none,2
14.1,34,Live oak,24,Weak Branch Union,none,2
14,30.5,Live oak,34,Weak Branch Union,none,3
14.9,36,Live oak,35,Poor Tree Architecture,none,2
14,31.5,Live oak,28,Weak Branch Union,none,2
14.5,35.5,Live oak,25,Poor Tree Architecture,none,3
12.2,22.5,Live oak,29,Root Problems,none,3
3.5,13.5,Japanese Privet,19,Poor Tree Architecture,none,2
4.1,12,Japanese Privet,14,Poor Tree Architecture,none,2
3.5,12,Japanese Privet,16,Poor Tree Architecture,none,2
15.3,34,Live oak,40,Poor Tree Architecture,none,2
12.5,31.5,Live oak,26,Weak Branch Union,none,2
14.2,33.5,Live oak,42,Poor Tree Architecture,none,2
3.5,11,Crapemyrtle,,"",none,1
6,21,Crapemyrtle,,"",none,1
5.6,21,Crapemyrtle,,"",none,1
6.2,21,Crapemyrtle,,"",none,1
5.7,21,Crapemyrtle,,"",none,1
5.8,21,Crapemyrtle,,"",none,1
5.8,21,Crapemyrtle,,"",none,1
6,21,Crapemyrtle,,"",none,1
5.8,21,Crapemyrtle,,"",none,1
5.8,21,Crapemyrtle,,"",none,1
6.1,21,Crapemyrtle,,"",none,1
5.6,21,Crapemyrtle,,"",none,1
5.3,21,Crapemyrtle,,"",none,1
5.9,21,Crapemyrtle,,"",none,1
6.3,21,Crapemyrtle,,"",none,1
6.1,21,Crapemyrtle,,"",none,1
1,10,Crapemyrtle,,"",whole,1
7.1,24,Crapemyrtle,,"",whole,1
6.5,21,Crapemyrtle,,"",whole,1
2.6,12,Crapemyrtle,,"",none,1
1,8,Oleander,,"",none,1
1,8,Oleander,,"",none,1
6.6,20,Crapemyrtle,,"",none,1
6.6,21.5,Crapemyrtle,,"",none,1
7.8,21.5,Crapemyrtle,,"",none,1
6.2,19.5,Crapemyrtle,,"",none,1
6.8,21,Crapemyrtle,,"",none,1
6.1,21,Crapemyrtle,,"",none,1
6.3,22,Crapemyrtle,,"",none,1
6.2,19,Crapemyrtle,,"",none,2
6.1,22,Crapemyrtle,,"",none,2
6.1,21,Crapemyrtle,,"",none,1
6.2,21,Crapemyrtle,,"",none,1
5.7,20,Crapemyrtle,,"",none,1
6.2,19,Crapemyrtle,,"",none,1
5.7,19,Crapemyrtle,,"",none,1
7.5,20,Crapemyrtle,,"",none,1
5.5,17.5,Crapemyrtle,,"",none,2
7.7,22,Crapemyrtle,,"",none,1
7.3,23.5,Crapemyrtle,,"",none,1
6.7,22,Crapemyrtle,,"",none,1
4.7,18,Crapemyrtle,,"",none,1
6.5,20,Crapemyrtle,,"",none,1
7,20,Crapemyrtle,,"",none,1
6.9,19,Crapemyrtle,,"",none,1
7.4,21.5,Crapemyrtle,,"",none,1
6.5,22.6,Crapemyrtle,,"",none,1
18,30.5,Laurel Oak,,"",none,2
6.4,18,Live oak,,"",none,1
4,12,Carolina Laurelcherry,,"",none,1
5,20,Oleander,,"",none,1
1,10,Carolina Laurelcherry,,"",none,1
1,10,Carolina Laurelcherry,,"",none,1
3,20,Carolina Laurelcherry,,"",none,1
4,15,Oleander,,"",none,1
21,18,Yew Podocarpus,,"",none,1
7,42.5,slash pine,,"",none,1
3.5,42.5,slash pine,,"",none,1
6,42.5,slash pine,,"",none,1
16,25.5,Live oak,,"",none,1
16,15,Laurel Oak,,"",none,3
3.5,19.5,Live oak,,"",none,1
1,12,Crapemyrtle,,"",none,1
20.5,38,Live oak,,"",none,1
15.5,32,Live oak,,"",none,1
3.5,10,Live oak,,"",none,2
20,28,Live oak,,"",none,2
26.5,53,Live oak,,"",none,2
1.5,7,Crapemyrtle,,"",none,1
